0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
19400,22700,22900,22900,22900,23400,23400,23400,23400,25100,25100,25100,25400,25900,25900,26200,26900,27200,27700,27700,27700,28400,28800,28800,30000,30000,31300,31300,31300,31900,31900,31900,31900,33300,33300,33400,33400,34300,34300,34300,35300,35300,35300,35300,35300,35300,35700,35700,35700,36600,36600,36600,36600,36600,36700,36700,36800,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,38400,38400,38400,38400,38400,38400,38400,38400,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000,41000
23500,27600,27600,27600,27600,27800,27800,27800,28100,28100,28100,28500,28500,28500,28500,29400,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,31500,32400,32400,32400,32400,32400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,34400,36000,36000,36000,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,37200,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,38600,39000,39000,39000,39000
24900,25000,25000,25000,25200,25200,27000,27000,27000,27000,28500,28500,28500,28500,29700,29800,32200,33200,33200,33200,33500,33500,33500,33500,34600,34600,35000,35000,35000,35000,35000,35700,35700,35700,35700,35700,35700,36100,36100,36100,36100,36100,36100,36100,37600,38900,38900,38900,38900,38900,38900,38900,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40700,40800,41200,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,41700,42100,42100,42100,42100,42100,42100
26600,26600,26600,26600,26600,26600,29700,29700,31000,31000,31000,31000,31000,31000,31500,31500,33400,34700,34700,34700,34700,34700,34800,34800,35200,37100,37600,37600,37600,37600,40700,40700,40700,40700,40700,40700,41000,42400,42400,42400,43000,43000,43000,43000,44200,44200,44700,44700,44700,44700,45600,45600,45600,45600,45600,45600,45600,46000,46000,46000,46000,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,46100,47700,47700,47700,47900,47900,47900,47900,49000,49000
22800,23200,23200,23200,23200,23200,23600,23600,24900,24900,24900,24900,26800,29100,29100,29100,29400,30700,32700,32700,32700,32700,33300,33700,33700,33700,33700,34600,34700,34700,34700,34700,36600,36600,36600,36600,36600,36600,36600,36600,36600,36600,39600,39600,39600,39600,39600,39600,39600,40500,40500,40500,40500,42800,42800,42800,43100,43100,43100,43100,43100,43100,43100,43300,43300,43300,43300,43300,43300,43300,43300,43300,43400,43800,43800,43800,43800,45900,46300,46300,46300,46500,46500,46500,46500,46500,46500,46500,46700,47500,47500,47500,47700,47700,47700,47700,47700,47700,47700,47700
25500,28100,28100,28100,28100,29600,29600,29600,30200,30200,34600,34600,34600,35100,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,36300,38200,38200,38200,38200,38200,38200,38200,38200,38200,40800,40800,40800,40800,40800,40800,40800,40800,40800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,41800,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43500,43600,43600,43600,43600,44000,45100,45100,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200,45200
19200,19300,19300,19500,19600,21000,22700,25200,25200,25200,25900,26500,26500,26500,28200,28200,28200,29400,29400,29400,29400,30300,30300,30300,30300,31500,31500,31500,31500,32000,32000,33000,33000,33000,33000,33100,33100,33100,33300,33800,33800,35400,35400,35400,35400,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,39300,39300,39300,39300,39300,39300,39300,39300,39300,39300,39300,39300,39300,41100,41100,41100,41100,41100,41100,41100,41100,41100,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900,42900
20400,20400,21600,30500,30500,30500,30500,35000,35000,35000,35000,35800,36000,36000,36800,38100,38100,38100,38100,38100,38100,38100,39000,39000,39000,39100,39100,39100,39100,39100,39100,39100,39100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45100,45500,45500
22900,22900,22900,23000,25200,27700,27700,27700,28900,28900,28900,31400,31400,31400,31400,32500,32500,32500,32500,33600,33600,33800,33800,34400,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36500,36700,36700,36700,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37800,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,37900,39500,39500,39500,39500,39500,39500,39500,39500,39500,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400,42400
22000,22000,22000,22000,22800,23500,25200,28900,28900,30800,30800,31000,31000,31000,31000,31400,31400,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,32200,33900,33900,33900,33900,33900,35300,35300,35300,35300,35300,35300,35300,35300,35300,35300,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36100,36500,36500,36500,36800,36800,37100,37100,37100,37100,37100,37100,37400,37400,37400,37400,37400,37400,37400,38200,38200,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,38800,39700,39700,39700,42200,42200,42200,42200,42200
22300,22300,23600,23600,23600,23600,23800,27900,27900,27900,29300,29900,29900,29900,31000,31000,31200,31500,31700,31700,32700,33900,33900,34900,34900,34900,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35600,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,35700,36600,36600,36600,36600,36600,36600,36900,36900,36900,36900,38100,38100,38100,38100,39800,39800,40100,40100,40100,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40200,40300,40300,40300
21300,21300,24500,24500,24800,25300,25500,25500,25500,29300,29300,29300,29300,30500,30500,30500,30700,30700,32000,32000,32000,32100,32100,33100,33100,33100,33600,33600,33600,33600,33600,33600,33600,33600,33600,33600,35300,35300,35300,35300,35300,35300,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35400,35600,35600,35600,35600,35600,35700,35700,37500,37500,37500,37500,37500,37500,37500,37500,37500,37700,37700,37700,37700,37700,37700,37800,37800,37800,37800,37800,38100,38100,38100,39000,39100,39100,39100,39100,39100,39100,41700,41700,41700,43100,43100,43100,43600,43600,43600,43600
18200,19800,19800,21700,21700,21700,21800,27100,27100,27100,27100,27300,27300,27300,27300,27300,27300,28600,28600,28600,28600,29900,29900,29900,29900,29900,33100,33100,33100,33100,33100,33100,33100,33100,33100,33100,33700,33700,33700,33700,34000,34000,34000,35500,35500,35500,35500,35800,35800,35800,35800,35800,35800,35800,39500,39500,39500,39500,39500,39500,39500,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39800,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,39900,40000,40000,41100,41100,41100,41700,41700,41700,41700,41700
24900,24900,24900,24900,26100,26100,28300,28300,29000,29000,29000,29800,29800,29800,29800,31400,31400,31400,33000,34900,34900,34900,34900,34900,34900,34900,34900,34900,34900,35100,35500,35800,35800,36200,36200,37500,37500,37500,38000,38000,38000,38000,38000,38000,38000,39500,39500,39500,39500,39500,39500,39500,39500,39500,40100,40100,40100,40100,40100,40100,40100,40100,40100,40100,40800,40800,41900,41900,41900,41900,41900,41900,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,42200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43200,43300,43300,43300,43300
